policy,budget,context_tokens,repeat,decode_ms,decode_tokens_per_sec,cache_tokens,cache_mib,allocated_above_model_mib,reserved_mib,peak_above_model_mib,model,attention_backend,gpu_name,torch_version,timestamp
full,0,512,0,33.682539011351764,29.688973258903605,516,14.109375,14.39990234375,3164.0,17.6455078125,Qwen/Qwen2.5-1.5B,sdpa,NVIDIA GeForce RTX 3060,2.11.0+cu128,2026-09-03T06:31:50+00:00
full,0,512,1,33.77261204877868,29.60979146521665,517,14.13671875,14.42724609375,3164.0,17.6728515625,Qwen/Qwen2.5-1.5B,sdpa,NVIDIA GeForce RTX 3060,2.11.0+cu128,2026-09-03T06:31:50+00:00
full,0,512,2,33.887789002619684,29.509154460407416,518,14.1640625,14.45458984375,3164.0,17.7001953125,Qwen/Qwen2.5-1.5B,sdpa,NVIDIA GeForce RTX 3060,2.11.0+cu128,2026-09-03T06:31:50+00:00
full,0,512,3,33.74526498373598,29.633787154493067,519,14.19140625,14.48193359375,3164.0,17.7275390625,Qwen/Qwen2.5-1.5B,sdpa,NVIDIA GeForce RTX 3060,2.11.0+cu128,2026-09-03T06:31:50+00:00
full,0,512,4,34.24188803182915,29.20399713562703,520,14.21875,14.50927734375,3164.0,17.7548828125,Qwen/Qwen2.5-1.5B,sdpa,NVIDIA GeForce RTX 3060,2.11.0+cu128,2026-09-03T06:31:51+00:00
full,0,512,5,33.9201990282163,29.480959093670304,521,14.24609375,14.53662109375,3164.0,17.7822265625,Qwen/Qwen2.5-1.5B,sdpa,NVIDIA GeForce RTX 3060,2.11.0+cu128,2026-09-03T06:31:51+00:00
full,0,512,6,33.702930028084666,29.671010774632936,522,14.2734375,14.56396484375,3164.0,17.8095703125,Qwen/Qwen2.5-1.5B,sdpa,NVIDIA GeForce RTX 3060,2.11.0+cu128,2026-09-03T06:31:51+00:00
full,0,512,7,34.043982974253595,29.373766305671957,523,14.30078125,14.59130859375,3164.0,17.8369140625,Qwen/Qwen2.5-1.5B,sdpa,NVIDIA GeForce RTX 3060,2.11.0+cu128,2026-09-03T06:31:51+00:00
full,0,512,8,34.212788043078035,29.228836853076082,524,14.328125,14.61865234375,3164.0,17.8642578125,Qwen/Qwen2.5-1.5B,sdpa,NVIDIA GeForce RTX 3060,2.11.0+cu128,2026-09-03T06:31:51+00:00
full,0,512,9,34.14315800182521,29.28844484586172,525,14.35546875,14.64599609375,3166.0,17.8916015625,Qwen/Qwen2.5-1.5B,sdpa,NVIDIA GeForce RTX 3060,2.11.0+cu128,2026-09-03T06:31:51+00:00
full,0,512,10,33.733511983882636,29.644111780528068,526,14.3828125,14.67333984375,3166.0,17.9189453125,Qwen/Qwen2.5-1.5B,sdpa,NVIDIA GeForce RTX 3060,2.11.0+cu128,2026-09-03T06:31:51+00:00
full,0,512,11,33.8695989921689,29.525002650052432,527,14.41015625,14.70068359375,3166.0,17.9462890625,Qwen/Qwen2.5-1.5B,sdpa,NVIDIA GeForce RTX 3060,2.11.0+cu128,2026-09-03T06:31:51+00:00
full,0,512,12,34.17885600356385,29.25785461911684,528,14.4375,14.72802734375,3166.0,17.9736328125,Qwen/Qwen2.5-1.5B,sdpa,NVIDIA GeForce RTX 3060,2.11.0+cu128,2026-09-03T06:31:51+00:00
full,0,512,13,34.12477299571037,29.304224239841954,529,14.46484375,14.75537109375,3166.0,18.0009765625,Qwen/Qwen2.5-1.5B,sdpa,NVIDIA GeForce RTX 3060,2.11.0+cu128,2026-09-03T06:31:51+00:00
full,0,512,14,33.96020398940891,29.446230661979172,530,14.4921875,14.78271484375,3166.0,18.0283203125,Qwen/Qwen2.5-1.5B,sdpa,NVIDIA GeForce RTX 3060,2.11.0+cu128,2026-09-03T06:31:51+00:00
full,0,512,15,33.90393400331959,29.495102246898202,531,14.51953125,14.81005859375,3166.0,18.0556640625,Qwen/Qwen2.5-1.5B,sdpa,NVIDIA GeForce RTX 3060,2.11.0+cu128,2026-09-03T06:31:51+00:00
full,0,512,16,34.105815982911736,29.3205123871259,532,14.546875,14.83740234375,3166.0,18.0830078125,Qwen/Qwen2.5-1.5B,sdpa,NVIDIA GeForce RTX 3060,2.11.0+cu128,2026-09-03T06:31:51+00:00
full,0,512,17,33.86956104077399,29.525035733298893,533,14.57421875,14.86474609375,3166.0,18.1103515625,Qwen/Qwen2.5-1.5B,sdpa,NVIDIA GeForce RTX 3060,2.11.0+cu128,2026-09-03T06:31:51+00:00
full,0,512,18,33.823731006123126,29.56504117830672,534,14.6015625,14.89208984375,3166.0,18.1376953125,Qwen/Qwen2.5-1.5B,sdpa,NVIDIA GeForce RTX 3060,2.11.0+cu128,2026-09-03T06:31:51+00:00
full,0,512,19,34.532630001194775,28.95811874060567,535,14.62890625,14.91943359375,3166.0,18.1650390625,Qwen/Qwen2.5-1.5B,sdpa,NVIDIA GeForce RTX 3060,2.11.0+cu128,2026-09-03T06:31:51+00:00
full,0,4096,0,34.3821769929491,29.084836606043716,4100,112.109375,112.38818359375,3306.0,136.1630859375,Qwen/Qwen2.5-1.5B,sdpa,NVIDIA GeForce RTX 3060,2.11.0+cu128,2026-09-03T06:31:51+00:00
full,0,4096,1,34.809854987543076,28.727496864260313,4101,112.13671875,112.41259765625,3306.0,136.193359375,Qwen/Qwen2.5-1.5B,sdpa,NVIDIA GeForce RTX 3060,2.11.0+cu128,2026-09-03T06:31:51+00:00
full,0,4096,2,34.12467602174729,29.304307515262877,4102,112.1640625,112.43701171875,3306.0,136.2236328125,Qwen/Qwen2.5-1.5B,sdpa,NVIDIA GeForce RTX 3060,2.11.0+cu128,2026-09-03T06:31:51+00:00
full,0,4096,3,33.88317400822416,29.51317369964452,4103,112.19140625,112.46142578125,3306.0,136.25390625,Qwen/Qwen2.5-1.5B,sdpa,NVIDIA GeForce RTX 3060,2.11.0+cu128,2026-09-03T06:31:51+00:00
full,0,4096,4,34.34692701557651,29.114686141979885,4104,112.21875,112.48583984375,3306.0,136.2841796875,Qwen/Qwen2.5-1.5B,sdpa,NVIDIA GeForce RTX 3060,2.11.0+cu128,2026-09-03T06:31:51+00:00
full,0,4096,5,33.84916600771248,29.54282536155105,4105,112.24609375,112.51025390625,3306.0,136.314453125,Qwen/Qwen2.5-1.5B,sdpa,NVIDIA GeForce RTX 3060,2.11.0+cu128,2026-09-03T06:31:51+00:00
full,0,4096,6,33.857483009342104,29.53556824422169,4106,112.2734375,112.53466796875,3306.0,136.3447265625,Qwen/Qwen2.5-1.5B,sdpa,NVIDIA GeForce RTX 3060,2.11.0+cu128,2026-09-03T06:31:51+00:00
full,0,4096,7,34.35089404229075,29.111323820825753,4107,112.30078125,112.55908203125,3306.0,136.375,Qwen/Qwen2.5-1.5B,sdpa,NVIDIA GeForce RTX 3060,2.11.0+cu128,2026-09-03T06:31:51+00:00
full,0,4096,8,34.09235697472468,29.332087562657456,4108,112.328125,112.58349609375,3306.0,136.4052734375,Qwen/Qwen2.5-1.5B,sdpa,NVIDIA GeForce RTX 3060,2.11.0+cu128,2026-09-03T06:31:52+00:00
full,0,4096,9,33.71952997986227,29.656403888109132,4109,112.35546875,111.6396484375,3306.0,136.43603515625,Qwen/Qwen2.5-1.5B,sdpa,NVIDIA GeForce RTX 3060,2.11.0+cu128,2026-09-03T06:31:52+00:00
