projection,format,m,k,n,output_elements,model_bytes,bytes_per_output,bandwidth_gbs,predicted_ms,measured_ms,min_ms,max_ms,measured_over_predicted,effective_gbs,status,max_abs_error,model_note,note,gpu_name,torch_version,timestamp
q_proj,dense_fp16,1,1536,1536,1536,4724736,3076.0,341.4,0.013839297012302285,0.021503999829292297,0.020479999482631683,0.02252800017595291,1.5538361385102555,219.7142874584692,ok,,fp16 weights + input + output,torch.mm (cuBLAS),NVIDIA GeForce RTX 3060,2.11.0+cu128,2026-09-01T09:00:56+00:00
q_proj,dense_fp16,8,1536,1536,12288,4767744,388.0,341.4,0.013965272407732866,0.021503999829292297,0.020479999482631683,0.021503999829292297,1.5398195754051371,221.714287474346,ok,,fp16 weights + input + output,torch.mm (cuBLAS),NVIDIA GeForce RTX 3060,2.11.0+cu128,2026-09-01T09:00:56+00:00
q_proj,dense_fp16,32,1536,1536,49152,4915200,100.0,341.4,0.014397188049209138,0.023599999956786633,0.023552000522613525,0.02457600086927414,1.6392089813734856,208.27118682203812,ok,,fp16 weights + input + output,torch.mm (cuBLAS),NVIDIA GeForce RTX 3060,2.11.0+cu128,2026-09-01T09:00:56+00:00
q_proj,dense_fp16,128,1536,1536,196608,5505024,28.0,341.4,0.016124850615114233,0.03379200026392937,0.03276799991726875,0.03481600061058998,2.095647337796436,162.90908963670418,ok,,fp16 weights + input + output,torch.mm (cuBLAS),NVIDIA GeForce RTX 3060,2.11.0+cu128,2026-09-01T09:00:56+00:00
q_proj,int8,1,1536,1536,1536,2382336,1551.0,341.4,0.006978137082601054,,,,,,unsupported,,int8 weights + fp32 scales + input + int32 write/read + fp16 output,torch._int_mm requires M greater than 16 on torch 2.11.0+cu128,NVIDIA GeForce RTX 3060,2.11.0+cu128,2026-09-01T09:00:56+00:00
q_proj,int8,8,1536,1536,12288,2500608,203.5,341.4,0.007324569420035149,,,,,,unsupported,,int8 weights + fp32 scales + input + int32 write/read + fp16 output,torch._int_mm requires M greater than 16 on torch 2.11.0+cu128,NVIDIA GeForce RTX 3060,2.11.0+cu128,2026-09-01T09:00:56+00:00
q_proj,int8,32,1536,1536,49152,2906112,59.125,341.4,0.008512337434094902,0.019471999257802963,0.01945599913597107,0.02051199972629547,2.28750321619192,149.2456918020599,ok,,int8 weights + fp32 scales + input + int32 write/read + fp16 output,torch._int_mm + fp16 scaling epilogue,NVIDIA GeForce RTX 3060,2.11.0+cu128,2026-09-01T09:00:56+00:00
q_proj,int8,128,1536,1536,196608,4528128,23.03125,341.4,0.01326340949033392,0.02252800017595291,0.021503999829292297,0.023552000522613525,1.6985074759526064,200.99999843010767,ok,,int8 weights + fp32 scales + input + int32 write/read + fp16 output,torch._int_mm + fp16 scaling epilogue,NVIDIA GeForce RTX 3060,2.11.0+cu128,2026-09-01T09:00:56+00:00
q_proj,nf4,1,1536,1536,1536,1333312,868.0416666666666,341.4,0.0039054247217340365,0.015359999611973763,0.01532800029963255,0.016383999958634377,3.9329908284991375,86.80416885952441,ok,,NF4 weights + fp32 absmax per 64 + codebook + input + output,"bitsandbytes.matmul_4bit, block size 64",NVIDIA GeForce RTX 3060,2.11.0+cu128,2026-09-01T09:00:57+00:00
q_proj,nf4,8,1536,1536,12288,1376320,112.00520833333333,341.4,0.004031400117164616,0.04095999896526337,0.03993599861860275,0.04102399945259094,10.16024154756228,33.60156334884689,ok,,NF4 weights + fp32 absmax per 64 + codebook + input + output,"bitsandbytes.matmul_4bit, block size 64",NVIDIA GeForce RTX 3060,2.11.0+cu128,2026-09-01T09:00:57+00:00
q_proj,nf4,32,1536,1536,49152,1523776,31.001302083333332,341.4,0.00446331575864089,0.043007999658584595,0.04198399931192398,0.04403200000524521,9.635885512989299,35.43005980506808,ok,,NF4 weights + fp32 absmax per 64 + codebook + input + output,"bitsandbytes.matmul_4bit, block size 64",NVIDIA GeForce RTX 3060,2.11.0+cu128,2026-09-01T09:00:57+00:00
q_proj,nf4,128,1536,1536,196608,2113600,10.750325520833334,341.4,0.006190978324545988,0.055296000093221664,0.05427199974656105,0.05632000043988228,8.931706298176511,38.22337956519012,ok,,NF4 weights + fp32 absmax per 64 + codebook + input + output,"bitsandbytes.matmul_4bit, block size 64",NVIDIA GeForce RTX 3060,2.11.0+cu128,2026-09-01T09:00:57+00:00
