format,m,shapes,weighted_predicted_ms,weighted_measured_ms,dense_weighted_ms,speedup_vs_dense,measured_over_predicted
dense_fp16,1,8,9.05024562390157,10.864448029547917,10.864448029547917,1.0,1.2004589136072799
dense_fp16,8,8,9.103863901581713,11.329088225960723,11.329088225960723,1.0,1.2444263609863937
dense_fp16,32,8,9.287697996485052,12.42048014700412,12.42048014700412,1.0,1.3373044807986516
dense_fp16,128,8,10.023034376098412,19.86060810647904,19.86060810647904,1.0,1.9814965569548435
int8,32,8,5.325572349150552,8.014399953186501,12.42048014700412,1.549770440651115,1.504889883707021
int8,128,8,7.710394563561793,11.236367955803862,19.86060810647904,1.767529168197144,1.457301291545482
nf4,1,8,2.550923960164017,6.195695940405116,10.864448029547917,1.7535476456640844,2.428804635951105
nf4,8,8,2.604542237844157,23.70947218686341,11.329088225960723,0.4778296259263744,9.103124473223486
nf4,32,8,2.7883763327474997,24.781824059784405,12.42048014700412,0.5011931372380252,8.887546407828628
nf4,128,8,3.5237127123608505,32.3297922387719,19.86060810647904,0.614312890098346,9.174922837881207
sparse_2to4,1,8,5.094114305799642,31.2796158492565,10.864448029547917,0.34733316681081167,6.140344321218843
sparse_2to4,8,8,5.147732583479782,24.467456057667725,11.329088225960723,0.4630268140365316,4.753054992831063
sparse_2to4,32,8,5.331566678383123,24.55782398581504,12.42048014700412,0.5057646864061885,4.606117763730673
sparse_2to4,128,8,6.066903057996475,28.427743792533867,19.86060810647904,0.6986346947342034,4.685709252443833
cuda_sparse_2to4,1,8,5.094114305799642,10.264576155692323,10.864448029547917,1.058440978444388,2.0149874030125545
