# results/trace_hf_decode.json.gz, step 2 of 5, segmented on annotation
# 1198 kernels, 1198 CPU launches, 15.302 ms device busy
# gap us = device idle before this event. s = * when the CPU had not yet issued the launch.
    #  launch us     gpu us   wait us    dur us   gap us s  aten op                    kernel
---------------------------------------------------------------------------------------------
    0      135.5     1356.2   1203.74      3.68     0.00    embedding/index_select     indexSelectSmallIndex<2,2>
    1      208.7     1361.0   1138.30      1.66     1.09    arange                     elementwise_kernel_with_index<1,4,1>
    2      255.9     1363.7   1095.12      2.24     1.06    add                        vectorized_elementwise_kernel<2>
    3      455.3     1367.3    896.03      2.94     1.41    to/copy_                   unrolled_elementwise_kernel<3,7,1,4,1,1>
    4      559.9     1371.5    796.70      2.43     1.22    matmul/bmm                 gemmk1_kernel<256,5,true,false,false,false>
    5      626.8     1375.0    734.32      2.94     1.06    cat                        CatArrayBatchedCopy_vectorized<3,128,1,16,4>
    6      667.1     1379.2    700.50      3.29     1.28    cos                        vectorized_elementwise_kernel<4,2,2,1>
    7      712.2     1383.7    659.44      1.99     1.18    mul                        vectorized_elementwise_kernel<4>
    8      749.8     1387.0    625.84      3.39     1.34    sin                        vectorized_elementwise_kernel<4,2,2,1>
    9      788.8     1391.6    591.22      1.92     1.15    mul                        vectorized_elementwise_kernel<4>
   10      839.8     1394.5    542.60      1.95     1.02    to/copy_                   vectorized_elementwise_kernel<4,1>
   11      885.5     1397.5    500.75      1.89     1.06    to/copy_                   vectorized_elementwise_kernel<4,1>
   12     1122.3     1400.5    261.53      3.58     1.15    to/copy_                   unrolled_elementwise_kernel<3,7,1,4,1,1>
   13     1178.3     1405.2    213.84      1.98     1.06    pow                        vectorized_elementwise_kernel<4,1>
   14     1225.8     1408.3    169.67      4.74     1.09    mean                       reduce_kernel<512,1>
   15     1292.3     1414.2    109.11      1.86     1.22    add                        vectorized_elementwise_kernel<4>
   16     1329.5     1417.2     76.35      2.11     1.09    rsqrt                      vectorized_elementwise_kernel<4,2,2,1>
   17     1368.3     1420.5     40.91      2.50     1.22    mul                        elementwise_kernel<128,2>
   18     1434.7     1448.4      0.53      1.95    25.41 *  to/copy_                   vectorized_elementwise_kernel<4,1>
   19     1475.4     1487.5      0.79      2.21    37.15 *  mul                        vectorized_elementwise_kernel<4>
   20     1579.3     1594.3      0.55     20.19   104.61 *  linear/addmm               gemv2T_kernel_val<128,16,4,4,false,true>
   21     1688.9     1703.9      0.75      8.58    89.41 *  linear/addmm               gemvx::kernel<false,true,true,false,7,false>
