server_config,arrival_pattern,target_rate_rps,repeat,request_count,success_count,error_count,mean_prompt_tokens,mean_output_tokens,arrival_window_s,run_wall_s,realized_submit_rate_rps,achieved_request_rate_rps,output_throughput_tok_s,ttft_p50_ms,ttft_p95_ms,tpot_p50_ms,tpot_p95_ms,e2e_p50_ms,e2e_p95_ms,slo_ttft_ms,slo_tpot_ms,slo_pass_count,slo_attainment_pct,goodput_request_rps,goodput_output_tok_s,client_lag_p95_ms,queue_mean,queue_p95,queue_max,running_max,kv_usage_max,preemptions,max_num_seqs,gpu_mem_util,chunked_prefill,model,gpu_name,vllm_version,torch_version,timestamp
baseline,poisson,0.5,0,48,48,0,1493.3333333333333,100.0,94.0,94.36566594801843,0.5000070187138763,0.5086595799201049,50.865957992010486,252.6766825467348,639.4160265102981,11.921552455807923,16.17739184491486,1263.8860139995813,3660.5698978528376,1000.0,100.0,48,100.0,0.5086595799201049,50.865957992010486,1.4712044969201086,0.0,0.0,0.0,4.0,0.03358704844750515,0.0,64,0.9,True,Qwen/Qwen2.5-1.5B,NVIDIA GeForce RTX 3060,0.10.2,2.8.0+cu128,2026-09-03T09:25:41+00:00
baseline,poisson,0.5,1,48,48,0,1032.0,90.0,94.0,94.78071240894496,0.4999931264484154,0.506432150382001,45.578893534380086,89.50848691165447,515.1233382523058,11.961233832182423,14.193750499242467,974.1503037512302,3273.23725959286,1000.0,100.0,48,100.0,0.506432150382001,45.578893534380086,1.8503309227526186,0.0,0.0,0.0,4.0,0.03189561435302646,0.0,64,0.9,True,Qwen/Qwen2.5-1.5B,NVIDIA GeForce RTX 3060,0.10.2,2.8.0+cu128,2026-09-03T09:27:17+00:00
baseline,poisson,1.0,0,48,48,0,1493.3333333333333,100.0,47.0,47.3633186686784,1.0000118075659101,1.0134424983134183,101.34424983134181,256.1552720144391,950.4591850563882,13.255853967000078,25.324354720426587,1617.5830736756325,4479.184106364846,1000.0,100.0,47,97.91666666666667,0.9923291129318886,95.93922317367026,1.6287125647068024,0.0,0.0,0.0,6.0,0.06373082034553579,0.0,64,0.9,True,Qwen/Qwen2.5-1.5B,NVIDIA GeForce RTX 3060,0.10.2,2.8.0+cu128,2026-09-03T09:28:06+00:00
baseline,poisson,1.0,1,48,48,0,1032.0,90.0,47.0,47.77350489795208,1.0000019317252744,1.0047410191597148,90.42669172437434,98.80558680742979,673.082556016743,12.32676626613704,20.209175229341298,1212.8003295511007,3514.265061449258,1000.0,100.0,48,100.0,1.0047410191597148,90.42669172437434,1.7414937727153301,0.0,0.0,0.0,6.0,0.03382868188957355,0.0,64,0.9,True,Qwen/Qwen2.5-1.5B,NVIDIA GeForce RTX 3060,0.10.2,2.8.0+cu128,2026-09-03T09:28:55+00:00
baseline,poisson,2.0,0,48,48,0,1493.3333333333333,100.0,23.5,25.331470964476466,1.999943751917783,1.8948761430914414,189.48761430914413,283.8116120547056,1147.724416386336,18.816068222010923,39.17357105154853,2074.753156863153,6549.076348077505,1000.0,100.0,42,87.5,1.6580166252050113,164.2225990679249,1.4333134517073627,0.008658008658008658,0.0,1.0,12.0,0.07949740244049774,0.0,64,0.9,True,Qwen/Qwen2.5-1.5B,NVIDIA GeForce RTX 3060,0.10.2,2.8.0+cu128,2026-09-03T09:29:21+00:00
baseline,poisson,2.0,1,48,48,0,1032.0,90.0,23.5,24.3042200691998,1.999905380359316,1.9749656587758329,177.74690928982494,213.48814852535725,809.5159968361259,14.727333555854848,28.007958325395833,1501.209806650877,4551.257594488559,1000.0,100.0,47,97.91666666666667,1.9338205408846696,167.21375910968717,1.7042174004018302,0.008968609865470852,0.0,1.0,12.0,0.06505980427691194,0.0,64,0.9,True,Qwen/Qwen2.5-1.5B,NVIDIA GeForce RTX 3060,0.10.2,2.8.0+cu128,2026-09-03T09:29:46+00:00
baseline,poisson,3.0,0,48,48,0,1493.3333333333333,100.0,15.666666666666666,18.733254609629512,3.000017552283504,2.5622883476599103,256.22883476599105,520.852405577898,1407.0130534470081,30.681225786509078,64.04744437378312,3001.661797054112,8323.145963344723,1000.0,100.0,39,81.25,2.081859282473677,213.5240289716592,1.7568089067935941,0.08771929824561403,0.0,3.0,20.0,0.13906004591035404,0.0,64,0.9,True,Qwen/Qwen2.5-1.5B,NVIDIA GeForce RTX 3060,0.10.2,2.8.0+cu128,2026-09-03T09:30:06+00:00
baseline,poisson,3.0,1,48,48,0,1032.0,90.0,15.666666666666666,16.547953283414245,2.999865884963728,2.9006608356883414,261.05947521195077,281.365217640996,913.1149451248347,18.030568150815235,38.95525302019293,1962.3699942603707,5381.198076251894,1000.0,100.0,47,97.91666666666667,2.840230401611501,245.58928408827958,1.5327078290283678,0.013157894736842105,0.0,1.0,17.0,0.0842696629213483,0.0,64,0.9,True,Qwen/Qwen2.5-1.5B,NVIDIA GeForce RTX 3060,0.10.2,2.8.0+cu128,2026-09-03T09:30:24+00:00
baseline,poisson,4.0,0,48,48,0,1493.3333333333333,100.0,11.75,16.128407860174775,3.999933073346926,2.9761152133636486,297.6115213363649,771.630747243762,1553.0629575252533,42.90706634129447,72.152834477441,4363.443715497851,10818.018655199556,1000.0,100.0,28,58.333333333333336,1.7360672077954618,184.51914322854623,1.8241825513541698,0.3310810810810811,2.0,3.0,28.0,0.176392412709919,0.0,64,0.9,True,Qwen/Qwen2.5-1.5B,NVIDIA GeForce RTX 3060,0.10.2,2.8.0+cu128,2026-09-03T09:30:41+00:00
baseline,poisson,4.0,1,48,48,0,1032.0,90.0,11.75,13.295343227684498,4.00007865621637,3.6102866378094722,324.9257974028525,299.53726194798946,989.81406558305,24.330622847041774,57.30233339052046,2273.475956171751,6629.059487022458,1000.0,100.0,45,93.75,3.38464372294638,291.2297887832974,1.5989597886800762,0.024193548387096774,0.0,1.0,22.0,0.10855382384922074,0.0,64,0.9,True,Qwen/Qwen2.5-1.5B,NVIDIA GeForce RTX 3060,0.10.2,2.8.0+cu128,2026-09-03T09:30:55+00:00
