server_config,arrival_pattern,target_rate_rps,success_count,error_count,mean_prompt_tokens,mean_output_tokens,arrival_window_s,run_wall_s,realized_submit_rate_rps,achieved_request_rate_rps,output_throughput_tok_s,ttft_p50_ms,ttft_p95_ms,tpot_p50_ms,tpot_p95_ms,e2e_p50_ms,e2e_p95_ms,slo_ttft_ms,slo_tpot_ms,slo_pass_count,slo_attainment_pct,goodput_request_rps,goodput_output_tok_s,client_lag_p95_ms,queue_mean,queue_p95,queue_max,running_max,kv_usage_max,preemptions,max_num_seqs,gpu_mem_util,chunked_prefill
baseline,bursty,0.5,48.0,0.0,1262.6666666666665,95.0,94.0,97.488770137541,0.49998668613021496,0.4924280612566041,46.75267133006437,1037.5896878540516,1673.6926885321734,14.619099567570384,34.19336268200963,2290.01213144511,4430.155026679859,1000.0,100.0,22.0,45.833333333333336,0.2266293443863773,21.08491591844981,3.955017402768135,0.08189112906263414,0.0,4.5,8.0,0.05122628971849695,0.0,64.0,0.9,True
baseline,bursty,1.0,48.0,0.0,1262.6666666666665,95.0,47.0,50.483677298761904,0.9999475954963389,0.9512421285753959,90.26573818170854,1020.7631448283792,1739.2162000760436,15.02058720867613,34.73061059791875,2282.5043410994112,4423.755524260923,1000.0,100.0,25.5,53.125,0.5072648314235676,54.56515244711045,3.3322534058243036,0.2419566521673916,1.5,5.0,8.0,0.05122628971849695,0.0,64.0,0.9,True
baseline,bursty,2.0,48.0,0.0,1262.6666666666665,95.0,23.5,27.00429878011346,1.9998009364230733,1.780411821986213,168.77879185575256,1061.6903728805482,1774.283887911588,14.762008265791854,30.271851105083307,2299.9340393580496,5159.1529639437795,1000.0,100.0,19.5,40.625,0.7330512735739607,73.2682090531564,3.622868377715349,0.43939194090879113,2.5,5.0,9.0,0.05170955660263375,0.0,64.0,0.9,True
baseline,bursty,3.0,48.0,0.0,1262.6666666666665,95.0,15.666666666666666,19.218409930355847,2.9995665574717827,2.506370632118605,237.3641045089824,1042.843540199101,1732.9126293770967,16.82682985824252,35.41094525950864,2311.6747681051493,6318.874811287968,1000.0,100.0,24.0,50.0,1.262449135337866,122.26868357613594,3.7248861975967884,0.6746334310850439,4.5,5.0,11.0,0.0765978011356771,0.0,64.0,0.9,True
baseline,bursty,4.0,48.0,0.0,1262.6666666666665,95.0,11.75,15.617618690244853,3.999077060332146,3.0884193412279446,292.3248292452305,1042.4391743727028,1665.1996180415154,26.63106847362464,45.64329582887391,3058.523894287646,8209.367082640525,1000.0,100.0,20.0,41.666666666666664,1.327154198606717,130.7624883492511,3.77111928537488,0.9351503759398496,4.5,5.5,17.5,0.10804035278482535,0.0,64.0,0.9,True
baseline,bursty,6.0,48.0,0.0,1262.6666666666665,95.0,7.833333333333333,12.963639129884541,5.99805194248004,3.7289384585426477,352.6840991331933,1102.3151939734817,1912.5549579504877,58.181192757122275,133.94145993415705,6068.825792521238,9897.962723486125,1000.0,100.0,17.5,36.458333333333336,1.4084167638965348,154.86887907616895,3.44551308080554,1.2749448830097432,5.299999999999997,5.5,39.0,0.2011900447021868,0.0,64.0,0.9,True
baseline,poisson,0.5,48.0,0.0,1262.6666666666665,95.0,94.0,94.5731891784817,0.5000000725811459,0.5075458651510529,48.22242576319529,171.09258472919464,577.2696823813019,11.941393143995175,15.185571172078664,1119.0181588754058,3466.9035787228486,1000.0,100.0,48.0,100.0,0.5075458651510529,48.22242576319529,1.6607677098363633,0.0,0.0,0.0,4.0,0.03274133140026575,0.0,64.0,0.9,True
baseline,poisson,1.0,48.0,0.0,1262.6666666666665,95.0,47.0,47.56841178331524,1.0000068696455922,1.0090917587365666,95.88547077785807,177.48042941093445,811.7708705365656,12.79131011656856,22.76676497488394,1415.1917016133666,3996.724583907052,1000.0,100.0,47.5,98.95833333333334,0.9985350660458017,93.1829574490223,1.6851031687110662,0.0,0.0,0.0,6.0,0.0487797511175546,0.0,64.0,0.9,True
baseline,poisson,2.0,48.0,0.0,1262.6666666666665,95.0,23.5,24.817845516838133,1.9999245661385494,1.9349209009336372,183.61726179948454,248.64988029003143,978.620206611231,16.771700888932884,33.59076468847218,1787.981481757015,5550.166971283032,1000.0,100.0,44.5,92.70833333333334,1.7959185830448403,165.71817908880604,1.5687654260545965,0.008813309261739701,0.0,1.0,12.0,0.0722786033587048,0.0,64.0,0.9,True
baseline,poisson,3.0,48.0,0.0,1262.6666666666665,95.0,15.666666666666666,17.64060394652188,2.999941718623616,2.731474591674126,258.6441549889709,401.108811609447,1160.0639992859215,24.355896968662158,51.501348696988025,2482.0158956572413,6852.172019798309,1000.0,100.0,43.0,89.58333333333334,2.4610448420425888,229.55665652996942,1.6447583679109807,0.050438596491228053,0.0,2.0,18.5,0.11166485441585115,0.0,64.0,0.9,True
